[32m[21:32:46.553] [main/INFO] [Launcher/MODLAUNCHER]: ModLauncher running: args [--launchTarget, forgeserver, --fml.neoForgeVersion, 21.1.54, --fml.fmlVersion, 4.0.24, --fml.mcVersion, 1.21.1, --fml.neoFormVersion, 20240808.144430, $] 
[m[32m[21:32:46.558] [main/INFO] [Launcher/MODLAUNCHER]: JVM identified as Ubuntu OpenJDK 64-Bit Server VM 21.0.4+7-Ubuntu-1ubuntu220.04 
[m[32m[21:32:46.561] [main/INFO] [Launcher/MODLAUNCHER]: ModLauncher 11.0.4+main.d2e20e43 starting: java version 21.0.4 by Ubuntu; OS Linux arch amd64 version 5.15.0-1067-gcp 
[m[32m[21:32:48.988] [main/INFO] [loading.ImmediateWindowHandler/]: ImmediateWindowProvider not loading because launch target is forgeserver 
[m[32m[21:32:49.128] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=union:/home/alisson_santos_rod/server/ServerMine/libraries/net/fabricmc/sponge-mixin/0.15.2+mixin.0.8.7/sponge-mixin-0.15.2+mixin.0.8.7.jar%2375!/ Service=ModLauncher Env=SERVER 
[m[32m[21:32:49.452] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "server-1.21.1-20240808.144430-srg.jar" [locator: production server provider +net.neoforged:neoforge:21.1.54:server] 
[m[32m[21:32:49.483] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "neoforge-21.1.54-universal.jar" [locator: PathBasedLocator[name=neoforge, paths=[libraries/net/neoforged/neoforge/21.1.54/neoforge-21.1.54-universal.jar]], reader: mod manifest] 
[m[32m[21:32:49.553] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[1.21.1] SecurityCraft v1.9.10-beta9.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.642] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "AI-Improvements-1.21-0.5.3.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.648] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "allthearcanistgear-1.21.1-21.0.3.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.660] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "allthecompressed-1.21.1-4.0.0.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.667] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "allthemodium-2.6.7_mc_1.21.1.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.674] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "alltheores-2.3.5_neoforge_1.21.1.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.679] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "allthetweaks-1.21-2.4.4.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.684] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "allthewizardgear-1.21-1.1.6.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.689] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "almostunified-neoforge-1.21.1-1.0.0.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.702] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ApothicAttributes-1.21.1-2.3.0.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.707] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ApothicEnchanting-1.21.1-1.2.2.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.711] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ApothicSpawners-1.21.1-1.1.0.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.715] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "appleskin-neoforge-mc1.21-3.0.5.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.721] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Applied-Mekanistics-1.6.1.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.730] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "appliedenergistics2-19.0.23-beta.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.734] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "AppliedFlux-1.21-2.0.1-neoforge.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.739] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Aquaculture-1.21.1-2.7.10.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.743] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "architectury-13.0.6-neoforge.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.748] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ars_additions-1.21.0-21.0.2.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.753] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ars_elemental-1.21.0-0.7.0.5.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.762] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ars_nouveau-1.21.0-5.1.0-all.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.765] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ars_ocultas-1.21.0-2.0.1.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.768] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "artifacts-neoforge-12.0.5.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.771] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "athena-neoforge-1.21-4.0.0.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.775] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "balm-neoforge-1.21.1-21.0.19.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.778] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "blueflame-1.21.0-1.1.0.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.782] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "buildinggadgets2-1.3.7.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.786] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "caelus-neoforge-7.0.1+1.21.1.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.791] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "cc-tweaked-1.21.1-forge-1.113.1.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.794] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "charginggadgets-1.14.1.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.827] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "chipped-neoforge-1.21.1-4.0.1.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.841] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "chisel-neoforge-1.21.1-1.8.1.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.843] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "cleanswing-1.7.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.846] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "cloth-config-15.0.140-neoforge.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.849] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Clumps-neoforge-1.21.1-19.0.0.1.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.852] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "comforts-neoforge-9.0.2+1.21.1.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.855] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "common-6.1.0.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.858] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "CommonCapabilities-1.21.1-neoforge-2.9.4.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.861] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Controlling-neoforge-1.21.1-19.0.2.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.885] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "cookingforblockheads-neoforge-1.21.1-21.1.1.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.890] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Corgilib-NeoForge-1.21.1-5.0.0.2.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.895] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "cosmeticarmorreworked-1.21.1-v1-neoforge.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.898] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "crafting_on_a_stick-1.21.0.1.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.903] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "craftingtweaks-neoforge-1.21.1-21.1.2.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.907] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "crashutilities-9.0.1.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.910] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Creeperoverhaul-neoforge-1.21-4.0.5.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.913] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "cristellib-neoforge-1.2.8.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.919] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Croptopia-1.21-NEO-FORGE-3.0.9.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.922] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "CTM-1.21-1.2.1+3.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.924] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Cucumber-1.21.1-8.0.5.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.927] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "curios-neoforge-9.1.3+1.21.0.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.930] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "cyclopscore-1.21.1-neoforge-1.23.0-601.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.933] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "deeperdarker-neoforge-1.21-1.3.2.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.936] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "DimStorage-1.21-9.0.1.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.938] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "disenchanting_table-merged-1.21.1-3.1.0.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.942] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "dummmmmmy-1.21-2.0.3-neoforge.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.945] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "DungeonCrawl-NeoForge-1.21-2.3.14.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.948] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "easy-villagers-neoforge-1.21.1-1.1.23.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.950] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "EdivadLib-1.21-3.0.0.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.953] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "elevatorid-neoforge-1.21.1-1.11.3.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.956] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "emi-1.1.13+1.21.1+neoforge.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.958] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "enderio-7.0.0-alpha.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.961] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "endermanoverhaul-neoforge-1.21-2.0.0.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.964] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "entangled-1.3.19-neoforge-mc1.21.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.966] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "entityculling-neoforge-1.7.0-mc1.21.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.968] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "EpheroLib-1.21-NEO-FORGE-1.2.0.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.974] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "eternalstarlight-0.1.13+1.21.1+neoforge.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.978] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "everythingcopper-1.21.1-2.3.6.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.983] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "EvilCraft-1.21.1-neoforge-1.2.56.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.985] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ExplorersCompass-1.21.1-3.0.1-neoforge.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.989] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Explorify v1.6.2 f10-48.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.993] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "extended-industrialization-1.9.1-beta-1.21.1.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.996] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ExtendedAE-1.21-2.0.4-neoforge.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:49.999] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ExtremeReactors2-1.21.1-2.4.9.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:50.002] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "factory_blocks+neoforge+1.21-1.3.2.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:50.006] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "FarmersDelight-1.21-1.2.4.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:50.017] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "farmingforblockheads-neoforge-1.21.1-21.1.2.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:50.020] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "FastWorkbench-1.21-9.1.2.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:50.026] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ferritecore-7.0.0-neoforge.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:50.028] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "findme-3.3.1-neoforge.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:50.030] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "flickerfix-1.21.0.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:50.036] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "FramedBlocks-10.1.4.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:50.039] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ftb-chunks-neoforge-2101.1.1.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:50.041] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ftb-essentials-neoforge-2101.1.0.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:50.046] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ftb-filter-system-neoforge-21.0.0.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:50.049] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ftb-library-neoforge-2101.1.2.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:50.051] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ftb-quests-neoforge-2101.1.0.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
[m[32m[21:32:50.053] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ftb-ranks-neoforge-2100.1.0.jar" [locator: {mods folder locator at /home/alisson_santos_rod/server/ServerMine/mods}, reader: mod manifest] 
